date,value
2015-01-05,92.88
2015-01-12,92.82
2015-01-19,93.29
2015-01-26,93.48
2015-02-02,92.12
2015-02-09,90.84
2015-02-16,87.31
2015-02-23,87.19
2015-03-02,87.18
2015-03-09,84.73
2015-03-16,83.13
2015-03-23,83.15
2015-03-30,84.25
2015-04-06,85.51
2015-04-13,86.27
2015-04-20,86.84
2015-04-27,88.84
2015-05-04,90.12
2015-05-11,92.04
2015-05-18,95.57
2015-05-25,97.02
2015-06-01,98.79
2015-06-08,100.49
2015-06-15,101.94
2015-06-22,103.47
2015-06-29,105.18
2015-07-06,109.3
2015-07-13,113.9
2015-07-20,116.81
2015-07-27,119.69
2015-08-03,124.29
2015-08-10,127.58
2015-08-17,125.66
2015-08-24,125.57
2015-08-31,125.21
2015-09-07,125.86
2015-09-14,125.33
2015-09-21,121.6
2015-09-28,121.42
2015-10-05,121.42
2015-10-12,120.79
2015-10-19,119.02
2015-10-26,116.44
2015-11-02,114.7
2015-11-09,112.66
2015-11-16,111.86
2015-11-23,111.84
2015-11-30,113.79
2015-12-07,114.91
2015-12-14,115.98
2015-12-21,114.52
2015-12-28,113.78
2016-01-04,116.67
2016-01-11,121.03
2016-01-18,122.93
2016-01-25,123.09
2016-02-01,126.62
2016-02-08,127.62
2016-02-15,126.89
2016-02-22,127.25
2016-02-29,124.99
2016-03-07,127.86
2016-03-14,131.37
2016-03-21,133.81
2016-03-28,136.95
2016-04-04,137.69
2016-04-11,137.56
2016-04-18,138.23
2016-04-25,139.39
2016-05-02,140.72
2016-05-09,143.5
2016-05-16,142.95
2016-05-23,144.26
2016-05-30,145.76
2016-06-06,145.28
2016-06-13,144.82
2016-06-20,139.47
2016-06-27,136.88
2016-07-04,131.11
2016-07-11,129.17
2016-07-18,128.72
2016-07-25,127.3
2016-08-01,125.25
2016-08-08,126.43
2016-08-15,128.71
2016-08-22,127.96
2016-08-29,127.46
2016-09-05,127.82
2016-09-12,127.44
2016-09-19,125.98
2016-09-26,123.31
2016-10-03,119.37
2016-10-10,116.75
2016-10-17,109.97
2016-10-24,110.56
2016-10-31,112.18
2016-11-07,114.17
2016-11-14,115.07
2016-11-21,115.48
2016-11-28,115.9
2016-12-05,117.31
2016-12-12,119.04
2016-12-19,119.64
2016-12-26,119.0
2017-01-02,121.23
2017-01-09,125.71
2017-01-16,124.53
2017-01-23,123.55
2017-01-30,123.04
2017-02-06,122.68
2017-02-13,117.15
2017-02-20,116.25
2017-02-27,115.78
2017-03-06,114.39
2017-03-13,111.84
2017-03-20,109.17
2017-03-27,109.97
2017-04-03,109.95
2017-04-10,109.17
2017-04-17,108.25
2017-04-24,104.8
2017-05-01,102.07
2017-05-08,101.45
2017-05-15,98.41
2017-05-22,95.81
2017-05-29,93.47
2017-06-05,89.18
2017-06-12,89.91
2017-06-19,93.4
2017-06-26,93.38
2017-07-03,94.54
2017-07-10,94.92
2017-07-17,94.96
2017-07-24,94.5
2017-07-31,94.02
2017-08-07,95.64
2017-08-14,96.99
2017-08-21,97.64
2017-08-28,99.22
2017-09-04,99.47
2017-09-11,100.15
2017-09-18,99.28
2017-09-25,99.37
2017-10-02,98.54
2017-10-09,98.21
2017-10-16,98.27
2017-10-23,97.85
2017-10-30,97.93
2017-11-06,97.72
2017-11-13,97.97
2017-11-20,98.28
2017-11-27,98.49
2017-12-04,99.75
2017-12-11,102.37
2017-12-18,102.88
2017-12-25,102.92
2018-01-01,102.82
