date,open,high,low,close,volume
2011-10-18,885.116,888.95,864.241,865.072,280113300
2011-10-19,866.356,871.935,856.1,862.096,198228500
2011-10-20,856.129,856.54,829.775,835.178,221045000
2011-10-21,835.181,837.002,815.594,816.23,226724600
2011-10-24,816.37,828.611,801.093,828.396,245805600
2011-10-25,825.607,850.118,822.78,848.471,291354400
2011-10-26,842.625,864.705,840.646,857.534,330138900
2011-10-27,859.36,866.981,854.753,859.594,253878000
2011-10-28,871.286,878.494,865.238,878.174,333849400
2011-10-31,881.156,891.593,880.127,886.638,354863800
2011-11-01,877.661,892.851,875.811,887.66,305759800
2011-11-02,873.608,897.533,866.568,896.98,344963800
2011-11-03,906.315,920.002,906.212,908.576,518402700
2011-11-04,915.634,928.028,911.312,926.052,606690800
2011-11-07,922.878,932.468,916.968,920.146,444428800
2011-11-08,920.103,923.176,902.85,905.358,399143100
2011-11-09,908.22,920.76,899.58,920.384,376626700
2011-11-10,909.295,914.159,904.363,904.931,332760000
2011-11-11,905.873,913.593,902.995,906.139,261469500
2011-11-14,913.132,926.252,911.76,926.121,328947800
2011-11-15,926.539,933.386,925.245,932.79,362744800
2011-11-16,932.56,933.159,905.571,909.588,482165500
2011-11-17,908.775,915.288,902.911,904.13,280737200
2011-11-18,896.562,897.747,874.141,876.526,292972700
2011-11-21,876.959,879.015,868.186,877.165,189897200
2011-11-22,870.018,878.401,865.122,877.32,195003100
2011-11-23,879.087,882.558,871.745,876.48,191431700
2011-11-24,870.076,881.2,864.402,874.84,209256600
2011-11-25,873.248,879.113,866.363,868.985,162430900
2011-11-28,870.569,880.343,870.569,877.254,219680300
2011-11-29,884.499,893.99,882.595,893.807,271727900
2011-11-30,891.302,891.302,848.343,859.118,305627600
2011-12-01,880.203,887.831,870.852,872.166,330873100
2011-12-02,866.642,868.019,850.291,854.196,205634800
2011-12-05,853.119,853.673,822.52,824.505,180565000
2011-12-06,822.362,825.631,810.499,819.869,153001300
2011-12-07,818.809,826.832,815.712,826.514,148960700
2011-12-08,825.642,833.85,811.97,828.41,185480300
2011-12-09,822.859,828.795,815.888,818.767,129927000
2011-12-12,818.574,823.008,809.646,811.06,120375200
2011-12-13,806.183,806.382,778.171,781.625,203620300
2011-12-14,776.366,786.679,761.733,763.669,157986100
2011-12-15,758.928,758.928,737.206,739.958,198094100
2011-12-16,739.607,756.173,735.44,755.692,191810000
2011-12-19,753.084,756.734,735.943,756.19,195847400
2011-12-20,754.679,767.584,751.63,756.248,188160600
2011-12-21,761.684,764.806,743.04,743.906,210459400
2011-12-22,737.523,739.004,709.141,731.661,232026500
2011-12-23,728.417,743.951,724.62,737.108,192931500
2011-12-26,734.718,741.095,730.394,734.756,218395000
2011-12-27,731.302,732.293,714.547,715.995,179856800
2011-12-28,711.549,714.721,693.675,713.481,186133800
2011-12-29,709.558,721.594,707.839,717.344,171364600
2011-12-30,718.748,729.587,718.709,729.125,175031600
2012-01-04,734.406,737.463,707.671,708.004,166478700
2012-01-05,702.807,703.053,671.661,673.986,205168100
