月份,cpi_yoy,ppi_yoy,m1_yoy,m2_yoy
2006-02-15,,3.05,,
2006-03-15,,3.01,,
2006-04-15,,2.49,,
2006-05-15,,1.87,,
2006-06-15,,2.43,,
2006-07-15,,3.52,,
2006-08-15,,3.58,,
2006-09-15,,3.4,,
2006-10-15,,3.45,,
2006-11-15,,2.9,,
2006-12-15,,2.78,,
2007-01-15,,3.05,,
2007-02-15,,3.3,,
2007-03-15,,2.6,,
2007-04-15,,2.65,,
2007-05-15,,2.87,,
2007-06-15,,2.76,,
2007-07-15,,2.49,,
2007-08-15,,2.39,,
2007-09-15,,2.56,,
2007-10-15,,2.71,,
2007-11-15,,3.21,,
2007-12-15,,4.55,,
2008-01-15,,5.43,,
2008-02-15,7.0781,6.07,20.54,18.88
2008-03-15,8.7443,6.62,18.95,17.39
2008-04-15,8.3097,7.95,17.97,16.19
2008-05-15,8.4829,8.12,19.05,16.94
2008-06-15,7.7163,8.22,17.93,18.07
2008-07-15,7.0844,8.84,14.19,17.37
2008-08-15,6.302,10.03,13.96,16.35
2008-09-15,4.9001,10.06,11.48,16.0
2008-10-15,4.6425,9.13,9.43,15.29
2008-11-15,3.9744,6.59,8.85,15.02
2008-12-15,2.434,1.99,6.8,14.8
2009-01-15,1.1999,-1.14,9.06,17.82
2009-02-15,0.95,-3.35,6.68,18.79
2009-03-15,-1.5582,-4.47,10.87,20.48
2009-04-15,-1.1714,-5.99,17.04,25.51
2009-05-15,-1.5,-6.6,17.48,25.95
2009-06-15,-1.3713,-7.2,18.69,25.74
2009-07-15,-1.7,-7.8,24.79,28.46
2009-08-15,-1.8057,-8.22,26.37,28.42
2009-09-15,-1.2043,-7.86,27.72,28.53
2009-10-15,-0.7883,-6.99,29.51,29.31
2009-11-15,-0.53,-5.85,32.03,29.42
2009-12-15,0.56,-2.08,34.63,29.74
2010-01-15,1.8559,1.7,32.35,27.68
2010-02-15,1.53,4.32,38.96,25.98
2010-03-15,2.6953,5.39,34.99,25.52
2010-04-15,2.3707,5.91,29.94,22.5
2010-05-15,2.8136,6.81,31.25,21.48
2010-06-15,3.0613,7.13,29.9,21.0
2010-07-15,2.9499,6.41,24.6,18.5
2010-08-15,3.3042,4.84,22.9,17.6
2010-09-15,3.4794,4.32,21.9,19.2
2010-10-15,3.6056,4.33,20.9,19.0
2010-11-15,4.3655,5.04,22.1,19.3
2010-12-15,5.1192,6.06,22.1,19.5
2011-01-15,4.5859,5.93,21.2,19.7
2011-02-15,4.9121,6.6436,13.6,17.2
2011-03-15,4.9443,7.2322,14.5,15.7
2011-04-15,5.383,7.3081,15.0,16.6
2011-05-15,5.3442,6.821,12.9,15.3
2011-06-15,5.5146,6.7851,12.7,15.1
2011-07-15,6.3553,7.1209,13.1,15.9
2011-08-15,6.4508,7.5417,11.6,14.7
2011-09-15,6.1514,7.2528,11.2,13.5
2011-10-15,6.0671,6.5227,8.85,13.04
2011-11-15,5.4954,5.0038,8.4,12.9
2011-12-15,4.2246,2.7179,7.8,12.7
2012-01-15,4.0704,1.6854,7.9,13.6
2012-02-15,4.5485,0.7347,3.1,12.4
2012-03-15,3.1613,0.0284,4.3,13.0
2012-04-15,3.5856,-0.3171,4.4,13.4
2012-05-15,3.3653,-0.6984,3.1,12.8
2012-06-15,3.0008,-1.3981,3.5,13.2
2012-07-15,2.1504,-2.0843,4.7,13.6
2012-08-15,1.8,-2.8651,4.6,13.9
2012-09-15,2.0,-3.4784,4.5,13.5
2012-10-15,1.9,-3.5545,7.3,14.8
2012-11-15,1.7,-2.7558,6.1,14.1
2012-12-15,2.0,-2.1995,5.5,13.9
2013-01-15,2.5,-1.9397,6.5,13.8
2013-02-15,2.0,-1.6372,15.3,15.9
2013-03-15,3.2,-1.6254,9.5,15.2
2013-04-15,2.1,-1.919,11.9,15.7
2013-05-15,2.4,-2.6175,11.9,16.1
2013-06-15,2.0981,-2.8658,11.3,15.8
2013-07-15,2.7,-2.6965,9.1,14.0
2013-08-15,2.7,-2.2712,9.7,14.5
2013-09-15,2.6,-1.625,9.9,14.7
2013-10-15,3.1,-1.3439,8.9,14.2
2013-11-15,3.2,-1.5071,8.9,14.3
2013-12-15,3.0,-1.4242,9.4,14.2
2014-01-15,2.49871692,-1.3557,9.3,13.6
2014-02-15,2.5,-1.6394,1.2,13.2
2014-03-15,2.0,-2.0182,6.9,13.3
2014-04-15,2.4,-2.3022,5.4,12.1
2014-05-15,1.80138144,-2.0042,5.5,13.2
2014-06-15,2.5,-1.4464,5.7,13.4
2014-07-15,2.3,-1.1086,8.9,14.7
2014-08-15,2.3,-0.8688,6.7,13.5
2014-09-15,2.0,-1.2038,5.7,12.8
2014-10-15,1.6,-1.7996,4.8,12.9
2014-11-15,1.60114868,-2.2428,3.2,12.6
2014-12-15,1.4,-2.6928,3.2,12.3
2015-01-15,1.5,-3.3152,3.2,12.2
2015-02-15,0.8,-4.3202,10.6,10.8
2015-03-15,1.4,-4.7976,5.6,12.5
2015-04-15,1.4,-4.5603,2.9,11.6
2015-05-15,1.5,-4.5725,3.7,10.1
2015-06-15,1.2,-4.607,4.7,10.8
2015-07-15,1.4,-4.8135,4.3,11.8
2015-08-15,1.6,-5.3692,6.6,13.3
2015-09-15,2.0,-5.9227,9.3,13.3
2015-10-15,1.59560463,-5.945,11.4,13.1
2015-11-15,1.3,-5.9,14.0,13.5
2015-12-15,1.5,-5.9,15.7,13.7
2016-01-15,1.6,-5.9,15.2,13.3
2016-02-15,1.8,-5.3,18.6,14.0
2016-03-15,2.3,-4.9,17.4,13.3
2016-04-15,2.3,-4.3,22.1,13.4
2016-05-15,2.3,-3.4,22.9,12.8
2016-06-15,2.0,-2.8,23.7,11.8
2016-07-15,1.9,-2.6,24.6,11.8
2016-08-15,1.8,-1.7,25.4,10.2
2016-09-15,1.3,-0.8,25.3,11.4
2016-10-15,1.9,0.1,24.7,11.5
2016-11-15,2.1,1.2,23.9,11.6
2016-12-15,2.3,3.3,22.7,11.4
2017-01-15,2.1,5.5,21.4,11.3
2017-02-15,2.5,6.9,14.5,10.7032
2017-03-15,0.8,7.8,21.4,10.45
2017-04-15,0.9,7.6,18.8,10.1178
2017-05-15,1.2,6.4,18.5,9.8426
2017-06-15,1.5,5.5,17.0,9.1289
