date,margin_balance
2010-03-31,5824813
2010-04-01,6842114
2010-04-02,6762781
2010-04-06,10091243
2010-04-07,25086826
2010-04-08,30233781
2010-04-09,50663640
2010-04-12,89060984
2010-04-13,92169145
2010-04-14,89480507
2010-04-15,103099287
2010-04-16,121064474
2010-04-19,112783831
2010-04-20,116673356
2010-04-21,127565065
2010-04-22,157219058
2010-04-23,152902064
2010-04-26,182090321
2010-04-27,202494937
2010-04-28,223249365
2010-04-29,233030157
2010-04-30,235526412
2010-05-04,242846863
2010-05-05,277495916
2010-05-06,314003383
2010-05-07,309938569
2010-05-10,327370089
2010-05-11,350667983
2010-05-12,376113669
2010-05-13,393357604
2010-05-14,415983876
2010-05-17,473201524
2010-05-18,467622771
2010-05-19,475810742
2010-05-20,486806982
2010-05-21,503728469
2010-05-24,534671504
2010-05-25,562759014
2010-05-26,565966886
2010-05-27,604281887
2010-05-28,633696229
2010-05-31,629837529
2010-06-01,639998626
2010-06-02,653397284
2010-06-03,675126222
2010-06-04,680721701
2010-06-07,685693950
2010-06-08,697311113
2010-06-09,785253681
2010-06-10,793255677
2010-06-11,782619926
2010-06-17,802191743
2010-06-18,819295645
2010-06-21,859456754
2010-06-22,867189284
2010-06-23,842719148
2010-06-24,866091036
2010-06-25,877045659
2010-06-28,907046989
2010-06-29,901933545
2010-06-30,908521076
2010-07-01,928736463
2010-07-02,946500624
2010-07-05,1035344028
2010-07-06,1057442951
2010-07-07,1064383786
2010-07-08,1102548838
2010-07-09,1170639291
2010-07-12,1222983113
2010-07-13,1311949508
2010-07-14,1263477734
2010-07-15,1287501800
2010-07-16,1319305043
2010-07-19,1303905018
2010-07-20,1440850708
2010-07-21,1472317314
2010-07-22,1498641789
2010-07-23,1539431335
2010-07-26,1551684452
2010-07-27,1580807913
2010-07-28,1583742413
2010-07-29,1531824312
2010-07-30,1552855454
2010-08-02,1640972044
2010-08-03,1664552954
2010-08-04,1709199891
2010-08-05,1775576845
2010-08-06,1802240599
2010-08-09,1841103737
2010-08-10,1869121672
2010-08-11,1903636176
2010-08-12,1917657100
2010-08-13,1946004866
2010-08-16,2011265809
2010-08-17,2052174441
2010-08-18,2085438731
2010-08-19,2111575425
2010-08-20,2116441794
2010-08-23,2141737847
2010-08-24,2213911577
2010-08-25,2190791657
2010-08-26,2194536639
2010-08-27,2220473978
2010-08-30,2285460219
2010-08-31,2307041382
2010-09-01,2322415396
2010-09-02,2367547449
2010-09-03,2347176762
2010-09-06,2387662569
2010-09-07,2414136562
2010-09-08,2493160533
2010-09-09,2568993058
2010-09-10,2568640986
2010-09-13,2621304462
2010-09-14,2618194471
2010-09-15,2614204191
2010-09-16,2631809132
2010-09-17,2668066420
2010-09-20,2736068769
2010-09-21,2724501690
2010-09-27,2778508977
2010-09-28,2795750305
2010-09-29,2821582317
2010-09-30,2846908595
2010-10-08,2879844623
2010-10-11,2854342169
2010-10-12,2911633870
2010-10-13,2945491873
2010-10-14,3012610812
2010-10-15,3074262298
2010-10-18,3152329327
2010-10-19,3288583583
2010-10-20,3449163925
2010-10-21,3596853448
2010-10-22,3755121466
2010-10-25,3936580107
2010-10-26,4071030302
2010-10-27,4269896802
2010-10-28,4324880974
2010-10-29,4296990516
2010-11-01,4341749551
2010-11-02,4470409233
2010-11-03,4579337355
2010-11-04,4687431943
2010-11-05,4878634897
2010-11-08,5205338554
2010-11-09,5427122250
2010-11-10,5669380056
2010-11-11,5772737492
2010-11-12,5535208139
2010-11-15,5777852641
2010-11-16,5759550131
2010-11-17,5816759463
2010-11-18,5825398138
2010-11-19,5603612499
2010-11-23,5739500620
2010-11-24,5822662043
2010-11-25,5970633357
2010-11-26,5903402929
2010-11-29,5929259556
2010-11-30,5936566231
2010-12-01,5937744337
2010-12-02,5997821790
2010-12-03,6090572316
2010-12-06,6164097438
2010-12-07,6265658521
2010-12-08,6287597522
