date,value
1950-03-15,-1.53
1950-04-15,-1.34
1950-05-15,-1.16
1950-06-15,-1.18
1950-07-15,-1.07
1950-08-15,-0.85
1950-09-15,-0.54
1950-10-15,-0.42
1950-11-15,-0.39
1950-12-15,-0.44
1951-01-15,-0.6
1951-02-15,-0.8
1951-03-15,-0.82
1951-04-15,-0.54
1951-05-15,-0.17
1951-06-15,0.18
1951-07-15,0.36
1951-08-15,0.58
1951-09-15,0.7
1951-10-15,0.89
1951-11-15,0.99
1951-12-15,1.15
1952-01-15,1.04
1952-02-15,0.81
1952-03-15,0.53
1952-04-15,0.37
1952-05-15,0.34
1952-06-15,0.29
1952-07-15,0.2
1952-08-15,0.0
1952-09-15,-0.08
1952-10-15,0.0
1952-11-15,0.15
1952-12-15,0.1
1953-01-15,0.04
1953-02-15,0.15
1953-03-15,0.4
1953-04-15,0.6
1953-05-15,0.63
1953-06-15,0.66
1953-07-15,0.75
1953-08-15,0.77
1953-09-15,0.75
1953-10-15,0.73
1953-11-15,0.78
1953-12-15,0.84
1954-01-15,0.84
1954-02-15,0.81
1954-03-15,0.76
1954-04-15,0.47
1954-05-15,-0.05
1954-06-15,-0.41
1954-07-15,-0.54
1954-08-15,-0.5
1954-09-15,-0.64
1954-10-15,-0.84
1954-11-15,-0.9
1954-12-15,-0.77
1955-01-15,-0.73
1955-02-15,-0.66
1955-03-15,-0.68
1955-04-15,-0.62
1955-05-15,-0.69
1955-06-15,-0.8
1955-07-15,-0.79
1955-08-15,-0.72
1955-09-15,-0.68
1955-10-15,-0.75
1955-11-15,-1.09
1955-12-15,-1.42
1956-01-15,-1.67
1956-02-15,-1.47
1956-03-15,-1.11
1956-04-15,-0.76
1956-05-15,-0.63
1956-06-15,-0.54
1956-07-15,-0.52
1956-08-15,-0.51
1956-09-15,-0.57
1956-10-15,-0.55
1956-11-15,-0.46
1956-12-15,-0.42
1957-01-15,-0.43
1957-02-15,-0.43
1957-03-15,-0.25
1957-04-15,0.06
1957-05-15,0.41
1957-06-15,0.72
1957-07-15,0.92
1957-08-15,1.11
1957-09-15,1.25
1957-10-15,1.32
1957-11-15,1.33
1957-12-15,1.39
1958-01-15,1.53
1958-02-15,1.74
1958-03-15,1.81
1958-04-15,1.66
1958-05-15,1.27
1958-06-15,0.93
1958-07-15,0.74
1958-08-15,0.64
1958-09-15,0.57
1958-10-15,0.43
1958-11-15,0.39
1958-12-15,0.44
1959-01-15,0.5
1959-02-15,0.61
1959-03-15,0.61
1959-04-15,0.62
1959-05-15,0.52
1959-06-15,0.33
1959-07-15,0.2
1959-08-15,-0.07
1959-09-15,-0.18
1959-10-15,-0.28
1959-11-15,-0.09
1959-12-15,-0.03
1960-01-15,0.05
1960-02-15,-0.04
1960-03-15,-0.1
1960-04-15,-0.1
1960-05-15,-0.07
1960-06-15,0.03
1960-07-15,0.02
1960-08-15,0.03
1960-09-15,0.13
1960-10-15,0.24
1960-11-15,0.27
1960-12-15,0.2
1961-01-15,0.12
1961-02-15,0.05
1961-03-15,0.04
1961-04-15,0.03
1961-05-15,0.04
1961-06-15,0.09
1961-07-15,0.23
1961-08-15,0.27
1961-09-15,0.14
1961-10-15,-0.13
1961-11-15,-0.3
1961-12-15,-0.26
1962-01-15,-0.19
1962-02-15,-0.16
1962-03-15,-0.24
1962-04-15,-0.22
1962-05-15,-0.2
1962-06-15,-0.26
1962-07-15,-0.28
1962-08-15,-0.2
1962-09-15,-0.04
