date,rate_10y
2002-01-04,3.2096
2002-01-07,3.2003
2002-01-08,3.5225
2002-01-09,3.5896
2002-01-10,3.5784
2002-01-11,3.4532
2002-01-14,3.5114
2002-01-15,3.5023
2002-01-16,3.4414
2002-01-17,3.4511
2002-01-18,3.2968
2002-01-21,3.2563
2002-01-22,3.3182
2002-01-23,3.1897
2002-01-24,3.2581
2002-01-25,3.0795
2002-01-28,3.1584
2002-01-29,3.81
2002-01-30,3.2152
2002-01-31,3.2186
2002-02-01,3.2016
2002-02-04,3.218
2002-02-05,3.1893
2002-02-06,3.1897
2002-02-07,3.2491
2002-02-08,3.2085
2002-02-09,3.1948
2002-02-10,3.2084
2002-02-11,3.2173
2002-02-19,3.1679
2002-02-20,3.1647
2002-02-21,3.1583
2002-02-22,3.2237
2002-02-25,3.1616
2002-02-26,3.1512
2002-02-27,3.1481
2002-02-28,3.1315
2002-03-01,3.1155
2002-03-04,3.0828
2002-03-05,3.085
2002-03-06,3.0864
2002-03-07,3.084
2002-03-08,3.0656
2002-03-11,3.073
2002-03-12,3.0044
2002-03-13,2.9872
2002-03-14,2.9798
2002-03-15,3.0188
2002-03-18,3.0232
2002-03-19,2.9442
2002-03-20,3.0009
2002-03-21,2.9508
2002-03-22,2.9468
2002-03-25,2.9166
2002-03-26,2.9052
2002-03-27,3.0714
2002-03-28,3.0536
2002-03-29,2.8551
2002-04-01,2.7433
2002-04-02,2.7048
2002-04-03,2.9179
2002-04-04,2.7323
2002-04-05,3.2699
2002-04-08,2.7346
2002-04-09,2.7982
2002-04-10,2.7158
2002-04-11,2.6737
2002-04-12,2.6736
2002-04-15,2.6374
2002-04-16,2.5653
2002-04-17,2.6181
2002-04-18,2.5275
2002-04-19,2.58
2002-04-22,2.5865
2002-04-23,2.5637
2002-04-24,2.605
2002-04-25,2.5478
2002-04-26,1.9775
2002-04-27,2.6304
2002-04-28,3.5186
2002-04-29,2.5363
2002-04-30,2.5022
2002-05-08,2.5363
2002-05-09,2.5192
2002-05-10,2.4972
2002-05-13,2.5072
2002-05-14,2.5447
2002-05-15,2.5035
2002-05-16,2.4959
2002-05-17,2.5423
2002-05-20,2.4837
2002-05-21,2.4961
2002-05-22,2.5476
2002-05-23,2.5547
2002-05-24,2.4983
2002-05-27,2.4462
2002-05-28,2.4178
2002-05-29,2.4199
2002-05-30,2.3924
2002-05-31,2.381
2002-06-03,2.3353
2002-06-04,2.7385
2002-06-05,2.8028
2002-06-06,2.4016
2002-06-07,2.6786
2002-06-10,2.4376
2002-06-11,2.4831
2002-06-12,2.4339
2002-06-13,2.4341
2002-06-14,2.4564
2002-06-17,2.4467
2002-06-18,2.3741
2002-06-19,2.4818
2002-06-20,2.4517
2002-06-21,2.4606
2002-06-24,2.4936
2002-06-25,2.7081
2002-06-26,2.6982
2002-06-27,2.5912
2002-06-28,2.5798
2002-07-01,2.5719
2002-07-02,2.5258
2002-07-03,2.6252
2002-07-04,2.5196
2002-07-05,2.6093
2002-07-08,2.5264
2002-07-09,2.5154
2002-07-10,2.5941
2002-07-11,2.5707
2002-07-12,2.5536
2002-07-15,2.8396
2002-07-16,2.7022
2002-07-17,2.7554
2002-07-18,2.7564
2002-07-19,2.9312
2002-07-22,2.9691
2002-07-23,2.8758
2002-07-24,2.9785
2002-07-25,2.7816
2002-07-26,2.8931
2002-07-29,2.7962
2002-07-30,2.8115
2002-07-31,2.869
2002-08-01,2.9805
2002-08-02,3.0287
2002-08-05,3.0054
2002-08-06,2.9415
2002-08-07,2.99
2002-08-08,2.8753
2002-08-09,3.1741
2002-08-12,3.0804
2002-08-13,2.9737
2002-08-14,3.0038
2002-08-15,2.988
2002-08-16,3.3451
2002-08-19,3.3411
2002-08-20,3.3896
2002-08-21,3.3991
2002-08-22,2.8007
2002-08-26,3.3751
2002-08-27,3.3321
2002-08-28,3.3262
2002-08-29,3.0539
2002-08-30,3.0595
2002-09-02,3.1491
2002-09-03,2.8736
2002-09-04,2.9627
2002-09-05,3.5311
2002-09-06,3.4072
2002-09-09,3.497
2002-09-10,3.3954
2002-09-11,2.9574
2002-09-12,3.0011
2002-09-13,3.5097
2002-09-16,3.1667
2002-09-17,3.2284
2002-09-18,2.9506
2002-09-19,3.2036
2002-09-20,3.2078
2002-09-23,3.0333
2002-09-24,3.0304
2002-09-25,3.2877
2002-09-26,2.9575
2002-09-27,3.1266
2002-09-28,2.9491
2002-09-29,3.3758
2002-09-30,3.1397
2002-10-08,3.1328
2002-10-09,3.1919
2002-10-10,3.0882
2002-10-11,3.101
2002-10-14,3.0843
2002-10-15,3.0876
2002-10-16,3.0828
2002-10-17,3.0918
2002-10-18,2.969
2002-10-21,3.1401
2002-10-22,3.1594
2002-10-23,3.0967
